price,lon,amenities,address,lat,prize_range,name,link,tenure,size
"RM 280,000",101.708496,"3 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)","Jalan Langkawi, 53000, Kuala Lumpur",3.198287,,"Teratai Mewah Apartment, Setapak",https://www.iproperty.com.my/property/teratai-mewah-apartment-setapak-4770729,Freehold,653 sq. ft.
"RM 340,000",101.669762,"3 Bedroom(s),2 Bathroom(s),3 Parking Bay(s)","Jalan Station, 68100, Selangor",3.253582,,"Amara, Selayang",https://www.iproperty.com.my/property/amara-selayang-5486498,Freehold,"1,012 sq. ft."
"RM 338,000",101.629808,"3 Bedroom(s),2 Bathroom(s)","Jalan 57, Taman Desa Jaya, 51200, Kuala Lumpur",3.211093,,"Kepong Central Condominium, Kepong",https://www.iproperty.com.my/property/kepong-central-condominium-kepong-4219604,Freehold,960 sq. ft.
"RM 263,000",101.639422,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Persiaran Multimedia, 63000, Selangor",2.923832,,"Cyberia Smart Homes, Cyberjaya",https://www.iproperty.com.my/property/cyberia-smart-homes-cyberjaya-5427763,Freehold,950 sq. ft.
"RM 310,000",101.466658,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor",3.131683,,"Seri Pinang, Shah Alam, Setia Alam",https://www.iproperty.com.my/property/seri-pinang-setia-alam-5537589,Freehold,850 sq. ft.
"RM 320,000",101.681651,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Station, 68100, Selangor",3.236516,,"Amara, Selayang",https://www.iproperty.com.my/property/amara-selayang-5419482,Freehold,829 sq. ft.
"RM 305,000",101.79415,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Reko, 43000, Selangor",2.961736,,"Residensi Zamrud, Kajang",https://www.iproperty.com.my/property/residensi-zamrud-kajang-5582047,Freehold,"1,023 sq. ft."
"RM 299,999",101.681651,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Station, 68100, Selangor",3.236516,,"Amara, Selayang",https://www.iproperty.com.my/property/amara-selayang-5430954,Freehold,829 sq. ft.
"RM 330,000",101.78286,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Panglima, Persiaran Mahkota Cheras 1, Selangor",3.053009,,"Suria Court, Cheras South, Cheras",https://www.iproperty.com.my/property/suria-court-cheras-5601900,Freehold,"1,104 sq. ft."
"RM 260,000",101.604302,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","No. 3, Persiaran Meranti, PJU 9,, 41050, Selangor",3.188417,,"Sd Apartments Ii, Bandar Sri Damansara",https://www.iproperty.com.my/property/sd-apartments-ii-bandar-sri-damansara-5603518,Freehold,800 sq. ft.
"RM 280,000",101.664337,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Old Klang Road, 58200 Kuala Lumpur, Kuala Lumpur",3.0778,,"Tulin Apartment, Old Klang Road, Jalan Klang ..",https://www.iproperty.com.my/property/tulin-apartment-jalan-klang-lama-(old-klang-road)-5582877,Freehold,820 sq. ft.
"RM 288,000",101.530487,"3 Bedroom(s),2 Bathroom(s)","No. 3 Jalan Anggerik Tania 31/112, Kota Kemuning,, 40150, Se...",2.991106,,"Pangsapuri Randa, Shah Alam",https://www.iproperty.com.my/property/pangsapuri-randa-shah-alam-5550845,Freehold,718 sq. ft.
"RM 310,000",101.462881,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor",3.105324,,"Seri Pinang, Shah Alam, Setia Alam",https://www.iproperty.com.my/property/seri-pinang-setia-alam-5559129,Freehold,850 sq. ft.
"RM 338,000",101.786338,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Pahlawan 1, Bandar Mahkota Cheras, Selangor",3.06606,,"Suria Residence, Cheras South, Cheras",https://www.iproperty.com.my/property/suria-residence-cheras-5417964,Freehold,"1,057 sq. ft."
"RM 280,000",101.604308,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Persiaran Meranti, PJU 9, 52200, Selangor",3.188376,,"Sd Apartments, Bandar Sri Damansara, Petaling..",https://www.iproperty.com.my/property/sd-apartments-petaling-jaya-5441186,Freehold,811 sq. ft.
"RM 288,000",101.473513,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor",3.127685,,"Seri Pinang, Setia Alam",https://www.iproperty.com.my/property/seri-pinang-setia-alam-5578937,Freehold,850 sq. ft.
"RM 285,000",101.46053,"Studio Bedroom(s),1 Bathroom(s),1 Parking Bay(s)","Perisaran setia wawasan, 40170, Selangor",3.111289,,"Trefoil, Setia Alam",https://www.iproperty.com.my/property/trefoil-setia-alam-4372130,Freehold,486 sq. ft.
"RM 320,000",101.564402,"3 Bedroom(s),2 Bathroom(s)","Jalan Penghulu, Bandar Mahkota Cheras , Selangor",2.825768,,"Vista Mahkota, Cheras South, Cheras",https://www.iproperty.com.my/property/vista-mahkota-cheras-4801371,Freehold,868 sq. ft.
"RM 300,000",101.669762,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Station, 68100, Selangor",3.253582,,"Amara, Selayang",https://www.iproperty.com.my/property/amara-selayang-5373348,Freehold,829 sq. ft.
"RM 350,000",,"3 Bedroom(s),2 Bathroom(s)","Jalan Puchong, Off Old Klang Road, 58200, Kuala Lumpur",,,"Oug Parklane, Old Klang Road, Jalan Klang Lam..",https://www.iproperty.com.my/property/oug-parklane-jalan-klang-lama-(old-klang-road)-3204243,Freehold,950 sq. ft.
"RM 310,000",101.733098,"2 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)","Jalan 42/26, Taman Sri Rampai,, 53300, Kuala Lumpur",3.194218,,"Rampai Court, Wangsa Maju, Setapak",https://www.iproperty.com.my/property/rampai-court-setapak-5609917,Freehold,600 sq. ft.
"RM 289,000",101.473513,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor",3.127685,,"Seri Pinang, Setia Alam, Shah Alam",https://www.iproperty.com.my/property/seri-pinang-shah-alam-4981826,Freehold,850 sq. ft.
"RM 330,000",101.805206,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Sungai Long, Bandar Baru Sungai Long, 43000, 43000, Se...",3.046647,,"Green Acre, Kajang",https://www.iproperty.com.my/property/green-acre-kajang-4995592,Freehold,"1,012 sq. ft."
"RM 315,000",101.733098,"2 Bedroom(s),1 Bathroom(s),2 Parking Bay(s)","Jalan 42/26, Taman Sri Rampai,, 53300, Kuala Lumpur",3.194218,,"Rampai Court, Wangsa Maju, Setapak",https://www.iproperty.com.my/property/rampai-court-setapak-5368764,Freehold,600 sq. ft.
"RM 320,000",101.691406,"2+1 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)","Jalan 2/48B, Sentul Pasar, 51000, Kuala Lumpur",3.193338,,"Apartment Sentul, Sentul",https://www.iproperty.com.my/property/apartment-sentul-sentul-5613472,Freehold,650 sq. ft.
"RM 270,000",101.740521,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Jalan Kolam Air, Desa Melawati, 53100, Kuala Lumpur",3.225099,,"Desa View Towers Condominium, Taman Melawati",https://www.iproperty.com.my/property/desa-view-towers-condominium-taman-melawati-5299234,Freehold,895 sq. ft.
"RM 328,000",101.731867,"2 Bedroom(s),2 Bathroom(s)","Jalan 2/124, 56000, Kuala Lumpur",3.08314,,"Taman Connaught, Taman Connaught, Cheras",https://www.iproperty.com.my/property/taman-connaught-cheras-5578910,Freehold,592 sq. ft.
"RM 268,000",101.625443,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Persiaran Bukit Puchong, Bandar Bukit Puchong, 47100, Selang...",2.98787,,"Vista Prima, Puchong",https://www.iproperty.com.my/property/vista-prima-puchong-5485918,Freehold,980 sq. ft.
"RM 318,000",101.811356,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Prima Saujana Permai, 43000, Selangor",3.01258,,"Pangsapuri Saujana Permai, Mutiara Height, Ka..",https://www.iproperty.com.my/property/pangsapuri-saujana-permai-kajang-5218487,Freehold,"1,069 sq. ft."
"RM 350,000",101.682556,"3 Bedroom(s),2 Bathroom(s)","Jalan 1/130, 58200, Kuala Lumpur",3.088354,,"Meadow Park 2, Jalan Klang Lama, Jalan Klang ..",https://www.iproperty.com.my/property/meadow-park-2-jalan-klang-lama-(old-klang-road)-4324100,Freehold,950 sq. ft.
"RM 320,000",101.674486,"3 Bedroom(s),2 Bathroom(s)","Jalan Trolak 9, Taman Sri Kuching, 51200 Segambut,, 51200, K...",3.194989,,"Pangsapuri Seri Gembira, Segambut",https://www.iproperty.com.my/property/pangsapuri-seri-gembira-segambut-5610190,Freehold,969 sq. ft.
"RM 282,000",101.792093,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Kelisa 2, 43500, Selangor",2.951058,,"Kajang Parc, Kajang",https://www.iproperty.com.my/property/kajang-parc-kajang-5616074,Freehold,860 sq. ft.
